Gene,Final_Weight,Calculation_Details
IFI30,2.0,Base:1.0 + Bio:1.0(Raw:1)
DRAM1,2.0,Base:1.0 + Bio:1.0(Raw:1)
AKR1C3,2.0,Base:1.0 + Bio:1.0(Raw:1)
ACTR1B,2.0,Base:1.0 + Bio:1.0(Raw:1)
TMC6,2.0,Base:1.0 + Bio:1.0(Raw:1)
SH3GLB1,2.0,Base:1.0 + Bio:1.0(Raw:1)
RMI2,2.0,Base:1.0 + Bio:1.0(Raw:1)
OSM,2.0,Base:1.0 + Bio:1.0(Raw:1)
LCN2,2.0,Base:1.0 + Bio:1.0(Raw:1)
RPS13,2.0,Base:1.0 + Bio:1.0(Raw:1)
EEF1G,2.0,Base:1.0 + Bio:1.0(Raw:1)
RPS27,2.0,Base:1.0 + Bio:1.0(Raw:1)
EEF1B2,2.0,Base:1.0 + Bio:1.0(Raw:1)
FBL,2.0,Base:1.0 + Bio:1.0(Raw:1)
EIF3L,2.0,Base:1.0 + Bio:1.0(Raw:1)
DDX58,2.0,Base:1.0 + Bio:1.0(Raw:1)
SPOCK2,2.0,Base:1.0 + Bio:1.0(Raw:1)
SPG11,2.0,Base:1.0 + Bio:1.0(Raw:1)
GADD45B,2.0,Base:1.0 + Bio:1.0(Raw:1)
GPR84,2.0,Base:1.0 + Bio:1.0(Raw:1)
LAMP3,2.0,Base:1.0 + Bio:1.0(Raw:1)
SOCS1,2.0,Base:1.0 + Bio:1.0(Raw:1)
TIMP2,2.0,Base:1.0 + Bio:1.0(Raw:1)
SPSB3,2.0,Base:1.0 + Bio:1.0(Raw:1)
FLNA,2.0,Base:1.0 + Bio:1.0(Raw:1)
CTSA,2.0,Base:1.0 + Bio:1.0(Raw:1)
CFP,2.0,Base:1.0 + Bio:1.0(Raw:1)
TRAF3IP3,2.0,Base:1.0 + Bio:1.0(Raw:1)
JUP,2.0,Base:1.0 + Bio:1.0(Raw:1)
FCMR,2.0,Base:1.0 + Bio:1.0(Raw:1)
RNF125,2.0,Base:1.0 + Bio:1.0(Raw:1)
CD6,2.0,Base:1.0 + Bio:1.0(Raw:1)
RTP4,2.0,Base:1.0 + Bio:1.0(Raw:1)
S100A9,2.0,Base:1.0 + Bio:1.0(Raw:1)
TBC1D10C,2.0,Base:1.0 + Bio:1.0(Raw:1)
PLAUR,2.0,Base:1.0 + Bio:1.0(Raw:1)
CHMP5,2.0,Base:1.0 + Bio:1.0(Raw:1)
CD38,2.0,Base:1.0 + Bio:1.0(Raw:1)
CD7,2.0,Base:1.0 + Bio:1.0(Raw:1)
CD96,2.0,Base:1.0 + Bio:1.0(Raw:1)
PCID2,2.0,Base:1.0 + Bio:1.0(Raw:1)
MYB,2.0,Base:1.0 + Bio:1.0(Raw:1)
LY9,2.0,Base:1.0 + Bio:1.0(Raw:1)
LILRA5,2.0,Base:1.0 + Bio:1.0(Raw:1)
CD1C,2.0,Base:1.0 + Bio:1.0(Raw:1)
CBLB,2.0,Base:1.0 + Bio:1.0(Raw:1)
UNC93B1,2.0,Base:1.0 + Bio:1.0(Raw:1)
DDIT3,2.0,Base:1.0 + Bio:1.0(Raw:1)
BST2,2.0,Base:1.0 + Bio:1.0(Raw:1)
IFIT2,2.0,Base:1.0 + Bio:1.0(Raw:1)
TRAFD1,2.0,Base:1.0 + Bio:1.0(Raw:1)
OGT,2.0,Base:1.0 + Bio:1.0(Raw:1)
SWAP70,2.0,Base:1.0 + Bio:1.0(Raw:1)
ADM,2.0,Base:1.0 + Bio:1.0(Raw:1)
PHPT1,2.0,Base:1.0 + Bio:1.0(Raw:1)
CD200R1,2.0,Base:1.0 + Bio:1.0(Raw:1)
SAMSN1,2.0,Base:1.0 + Bio:1.0(Raw:1)
SASH1,2.0,Base:1.0 + Bio:1.0(Raw:1)
ZNFX1,2.0,Base:1.0 + Bio:1.0(Raw:1)
HBQ1,2.0,Base:1.0 + Bio:1.0(Raw:1)
EIF3D,2.0,Base:1.0 + Bio:1.0(Raw:1)
ACTL6A,2.0,Base:1.0 + Bio:1.0(Raw:1)
VNN1,2.0,Base:1.0 + Bio:1.0(Raw:1)
S100A12,2.0,Base:1.0 + Bio:1.0(Raw:1)
GSN,2.0,Base:1.0 + Bio:1.0(Raw:1)
FCAR,2.0,Base:1.0 + Bio:1.0(Raw:1)
BST1,2.0,Base:1.0 + Bio:1.0(Raw:1)
CLEC4D,2.0,Base:1.0 + Bio:1.0(Raw:1)
MNDA,2.0,Base:1.0 + Bio:1.0(Raw:1)
IFITM2,2.0,Base:1.0 + Bio:1.0(Raw:1)
HCK,2.0,Base:1.0 + Bio:1.0(Raw:1)
FFAR2,2.0,Base:1.0 + Bio:1.0(Raw:1)
GRN,2.0,Base:1.0 + Bio:1.0(Raw:1)
IL1RN,2.0,Base:1.0 + Bio:1.0(Raw:1)
ANXA3,2.0,Base:1.0 + Bio:1.0(Raw:1)
ISG20,2.0,Base:1.0 + Bio:1.0(Raw:1)
ROMO1,2.0,Base:1.0 + Bio:1.0(Raw:1)
CCR1,2.0,Base:1.0 + Bio:1.0(Raw:1)
HERC6,2.0,Base:1.0 + Bio:1.0(Raw:1)
GPER1,2.0,Base:1.0 + Bio:1.0(Raw:1)
GNLY,2.0,Base:1.0 + Bio:1.0(Raw:1)
DYNLT1,2.0,Base:1.0 + Bio:1.0(Raw:1)
CLEC5A,2.0,Base:1.0 + Bio:1.0(Raw:1)
UBR2,2.0,Base:1.0 + Bio:1.0(Raw:1)
TXN,2.0,Base:1.0 + Bio:1.0(Raw:1)
CARD16,2.0,Base:1.0 + Bio:1.0(Raw:1)
FCER1A,2.0,Base:1.0 + Bio:1.0(Raw:1)
SLPI,2.0,Base:1.0 + Bio:1.0(Raw:1)
CXCR6,2.0,Base:1.0 + Bio:1.0(Raw:1)
ABCA1,2.0,Base:1.0 + Bio:1.0(Raw:1)
NSMCE2,2.0,Base:1.0 + Bio:1.0(Raw:1)
MAD2L1BP,2.0,Base:1.0 + Bio:1.0(Raw:1)
CEACAM1,2.0,Base:1.0 + Bio:1.0(Raw:1)
TXNDC17,2.0,Base:1.0 + Bio:1.0(Raw:1)
FYN,2.0,Base:1.0 + Bio:1.0(Raw:1)
PTGDR,2.0,Base:1.0 + Bio:1.0(Raw:1)
TRIM21,2.0,Base:1.0 + Bio:1.0(Raw:1)
S100A8,2.0,Base:1.0 + Bio:1.0(Raw:1)
NMI,2.0,Base:1.0 + Bio:1.0(Raw:1)
GPR183,2.0,Base:1.0 + Bio:1.0(Raw:1)
SPHK2,2.0,Base:1.0 + Bio:1.0(Raw:1)
FCRL3,2.0,Base:1.0 + Bio:1.0(Raw:1)
IL7R,2.0,Base:1.0 + Bio:1.0(Raw:1)
