kegg¡Ègo¡ÈPPI,Consensus_Score,Union_of_pairwise_intersections,Consensus_Score,kegg¡Égo¡ÉPPI,Consensus_Score
TCN1,1,,,,
CASP5,1,,,,
EPHA4,1,,,,
GYG1,1,,,,
HBQ1,1,,,,
LCN2,1,,,,
OSM,1,,,,
RMI2,1,,,,
SH3GLB1,1,,,,
TMC6,1,,,,
TRAFD1,1,,,,
ACTR1B,1,,,,
AKR1C3,1,,,,
CMPK2,1,,,,
CXCR6,1,,,,
DRAM1,1,,,,
EEF2,1,,,,
GPR84,1,,,,
IFI30,1,,,,
KDM3B,1,,,,
KIR3DL1,1,,,,
MCEMP1,1,,,,
PLEKHA1,1,,,,
RBM14,1,,,,
SIGLEC5,1,,,,
SPG11,1,,,,
SPOCK2,1,,,,
XAF1,1,,,,
DDX58,1,,,,
HERC5,1,,,,
HERC6,1,,,,
IFIT3,1,,,,
IFI44,1,,,,
IFIT2,1,,,,
RTP4,1,,,,
IFI44L,1,,,,
EIF3L,1,,,,
FBL,1,,,,
EEF1B2,1,,,,
RPS27,1,,,,
EIF3D,1,,,,
EEF1G,1,,,,
RPS13,1,,,,
RPL4,1,,,,
RPS23,1,,,,
PCLAF,1,,,,
TK1,1,,,,
TYMS,1,,,,
PRC1,1,,,,
NUSAP1,1,,,,
