Gene,Final_Weight,Calculation_Details
TYMS,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
PRC1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
NUSAP1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
SIRPA,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
BATF,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
ANAPC16,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
H2BC5,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
PCLAF,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CDKN1B,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
TK1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
REC8,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
RNF181,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
SLC22A16,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
SNF8,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
ABLIM1,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
CD163,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
IFI27L2,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
ASGR1,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
COLQ,2.0,Base:1.0 + Bio:0.0(Raw:0) + ML:1.0(Raw:2)
GNA15,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SLC7A6,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ZFP90,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
NIBAN3,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ZNF548,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SCRN1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
FNBP4,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
CITED4,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
FAH,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
DENND2D,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SRRM2,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
PCED1B-AS1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
TFF3,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
CTDSP2,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ZNF831,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
TMEM181,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
TLE4,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ZNF91,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
DESI1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
RETSAT,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
DHDDS,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
NCL,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
MATK,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
PBX4,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
POLM,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
NSG1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ATXN7L3B,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ATF7IP2,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
STT3B,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SIGLEC9,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
MIAT,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
LHFPL2,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SAMD9L,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
CIRBP,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
MT1E,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
PPTC7,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SPTLC2,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SNHG1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
PNISR,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ANKRD22,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
GLRX,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
LRP3,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
CRY1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
TCN2,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ZNF264,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SGSM2,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
CENPW,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
GALT,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
NPHP3,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
CTNNAL1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
LGALS3BP,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
TDRD7,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
KLRF1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SAMD9,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
NOP10,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SMIM24,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SQOR,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
GNG5,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SAP30,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ZNF329,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
KLF12,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
TMED1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
GPBAR1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
DYRK2,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
SPATS2L,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
MED13L,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
BRSK1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
ITPK1,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
CNNM3,1.5,Base:1.0 + Bio:0.0(Raw:0) + ML:0.5(Raw:1)
