Gene,Final_Weight,Calculation_Details
RELB,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
LTF,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
LGALS1,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
MEFV,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
GP1BA,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
FPR1,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
FOXO1,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
CCNB2,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
AIM2,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
TRIM25,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
TLR5,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
GADD45A,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
RPS27A,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
C3AR1,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
ADAR,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
HNRNPH1,3.0,Base:1.0 + Bio:0.0(Raw:0) + ML:2.0(Raw:4)
ABCB1,3.0,Base:1.0 + Bio:0.0(Raw:0) + ML:2.0(Raw:4)
C1QC,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
EP300,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
GATA3,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
H2BC4,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
H2BC6,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
C1QB,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
