Cohort,Best_Performing_Method,Best_AUC,ML_Baseline_AUC,Improvement_Over_ML,Sample_Size,Genes_Used,Performance_Category
GSE81622,Bio_only,0.909,0.813,0.096,40,271,Excellent
GSE61635,KC_ML,0.941,0.86,0.081,129,56,Excellent
