Gene,MDG
IFI27,0.034137803069332597
MX1,0.02440724810882898
GADD45B,0.02107737578318252
PLEKHA1,0.019336117798928177
OAS3,0.017257472919114992
IFI44,0.017047349000567386
EPSTI1,0.017039716159065008
SMARCD3,0.01654969292726797
FCGR1BP,0.01650535454024571
IFI6,0.015966009085460697
GPR84,0.015766342347756535
IFITM3,0.014192417024539059
BATF2,0.014103853099710404
ISG15,0.0138141069654174
SOCS1,0.013775578060180938
OASL,0.013682259594167818
HERC5,0.012432827682536484
SERPING1,0.012327549362647901
HNRNPDL,0.011761143782163095
IFIT3,0.01082971975972433
LY6E,0.01066341416752189
IFI35,0.010572895266931835
LHFPL2,0.009780005577046304
BCL11A,0.009441448673963036
SPATS2L,0.009130675298743446
RSAD2,0.009005651833646263
FYN,0.008714338020437664
REC8,0.008682862358575206
USP7,0.008034002161052538
CIRBP,0.007961286179652624
HNRNPH1,0.007741092448773482
ZNF83,0.007469312179139858
FNBP4,0.00735162818553421
RNF181,0.007142821348722886
ABCB1,0.0070417552984603
PARP9,0.006769085739617758
IFI44L,0.006393996956542603
SRSF4,0.006184701683318263
KLRB1,0.006167457751579225
IFIT1,0.006074922946385066
RNASE2,0.005922016982528065
IFI27L2,0.0059157491449063635
LGALS1,0.0056901689289326875
GNG5,0.005457967365277156
RBM14,0.005186683675938167
SRRM2,0.005171747322825316
TRIP6,0.004998424690763385
ATF5,0.004934740614040202
CEACAM1,0.004873720644488008
GNA15,0.004777638171234244
EXOSC4,0.004722319143762792
PIK3C2B,0.004362098161976522
TXK,0.00432727267450604
TCN2,0.004293965312893734
NFKBIA,0.004202191101668278
LAMP3,0.004186883601136085
PTMS,0.004114825232162841
UBE2S,0.0040817606149287766
IFIT5,0.004072123388106778
IL1RN,0.004007458807659214
RNF125,0.003937361646534866
F12,0.003916828870769367
PPTC7,0.003859494433950491
CMPK2,0.003855294671579597
TNFAIP6,0.0038208889573904657
HP,0.0038043037301246853
USP18,0.0037604701563312432
CD163,0.0037502397041238983
IFIH1,0.003741886713605524
RFWD3,0.003654098946837557
FUT4,0.0036517517462222484
SQOR,0.0036476476069577765
BST2,0.003599091033711555
CASP8,0.0035473738379120045
ZDHHC12,0.003533161044338193
JAK1,0.003532666575215242
PTGDR,0.0034400808779175914
HNRNPU,0.003290993679940648
FCRL2,0.0032904467766763632
MT2A,0.003289197695410956
ZFP90,0.0032137683113037346
PYHIN1,0.003199178507798005
PNISR,0.003155015317435508
DYRK2,0.0031229141261778716
TXNDC17,0.003116151546571247
ABLIM1,0.0030959790797794495
IFIT2,0.0030639454639057755
ZNF329,0.0030515866394166626
IRF7,0.0030180588886018042
TDRD7,0.0030030422573783895
SGSM2,0.002979348106838641
KLHL22,0.0029425569644075866
SPTLC2,0.0028948036124510157
LRP3,0.002869729049587785
PLSCR1,0.0028416878899963946
NAA38,0.0028402645057458804
RNF31,0.002726846698860192
ZNF548,0.0027022610644510045
TRAFD1,0.002646026450885683
GLRX,0.0026234505488756214
SCRN1,0.0026081771831384663
LGALS3BP,0.0025587143662703987
NAPA,0.0025310486304747372
EGR1,0.002485389926333095
PCED1B-AS1,0.002484386553782683
FBXO6,0.002482841975566286
NCL,0.0024556638204605435
SAMD9,0.0024302833599182277
CDC20,0.0023782430765735274
LINC00926,0.0023518252033671787
GSTO1,0.0023304162960148173
YPEL1,0.0023157234618427992
XAF1,0.002306858370073014
NOP10,0.002275374409801862
SNF8,0.002268529300263092
CIR1,0.0022110364918163333
PCYOX1,0.0021972466108185784
SLC35F6,0.002189261049133919
CTDSP2,0.0021218234241208718
NKTR,0.0020800754117195086
ITGAM,0.002036451371483837
HBQ1,0.0020278260012190326
ARG1,0.002015885857668923
DESI1,0.0020020824501500462
NPHP3,0.0019906297144916887
TRAF3IP3,0.0019834719718337967
SYTL1,0.0019756929406232037
ISG20,0.0019713585802389813
POLR2B,0.0019621019951689533
ACOT13,0.0019214241738079283
DENND2D,0.0019119969685089304
CTNNAL1,0.001892464821705824
COMMD4,0.0018463014065353831
GATA3,0.0018385869779401478
CD63,0.00183662732253114
GALT,0.0018188713960376713
ANKRD22,0.0018021453873242345
ASGR1,0.001787873926667712
GPBAR1,0.0017617143670656129
COLQ,0.0017490389606286867
C3AR1,0.0017311761323914319
TMEM181,0.0017297695196551832
CD6,0.0017039189919868826
TRABD2A,0.0016432170557043044
WDR59,0.0016306868818513009
TBC1D10C,0.0016249810558907286
SLC66A2,0.001616171223707385
BLVRA,0.0015869862256890023
ZNF91,0.0015835605316980418
MYL6B,0.0015770457503744312
KLRF1,0.0015630134204020522
FCRL3,0.0015451751055095121
TAP1,0.0015257664266980675
RGL4,0.0015183722549360435
KHDC4,0.0015107286571174078
DGKA,0.001488368068389848
TMED1,0.0014866224208940494
OAF,0.0014104753180791368
BLOC1S1,0.0014066912077830387
NSG1,0.0014063202008180611
OAS2,0.001401554959487958
CNNM3,0.0014014549145660669
NIBAN3,0.001396484697632233
TNFSF13B,0.0013836505439819573
SH2D1B,0.001381015498214373
SNHG1,0.0013667276514042156
FAH,0.001357902606108492
RUBCNL,0.0013572534293833734
ABCA1,0.0013492636529131975
MYBL1,0.0013467771317342378
HLA-DRA,0.0013427098267455896
RTP4,0.0013217308124315586
TNFAIP3,0.0013177207627363915
DCAF8,0.0013112912547417288
SLC22A16,0.001293584534650182
OAS1,0.0012904962093645877
MT1E,0.0012729893955473056
SRSF5,0.0012674718700652866
SRSF7,0.0012637131361213669
PLBD1,0.0012346457113372226
MX2,0.0012164464879793047
CD160,0.0012068383599088742
