Model,Mean_accuracy,Mean_auc,Mean_precision,Mean_recall,Mean_f1,Mean_mcc,Std_accuracy,Std_auc,Std_precision,Std_recall,Std_f1,Std_mcc
Elastic_Net,0.95,1.0,1.0,0.9429166666666667,0.9679182630906767,0.8777960511048258,0.08407081083567532,0.0,0.0,0.09464938956192186,0.05551913193621729,0.18129244277584
RF_Weighted,0.9444444444444444,0.9911111111111112,0.9510539215686276,0.9870833333333333,0.9679301075268818,0.7846929949261658,0.04303314829119354,0.014740554623801751,0.044595593286778576,0.025850128948743493,0.024767913350497918,0.17052985992361774
XGBoost,0.95,0.9879861111111111,0.9683333333333334,0.9741666666666667,0.9705302187615871,0.8180076516786645,0.029917582261858366,0.01579933606395306,0.03168858890305257,0.03166666666666666,0.017867068539910033,0.1089196116186464
Boruta_RF,0.9555555555555555,0.9911111111111112,0.9577205882352942,0.99375,0.9745967741935484,0.8246929949261659,0.041573970964154924,0.02036700308869261,0.046394961265161634,0.01875,0.023498068200537844,0.16942548076211977
